Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
02224-1;02224;0087317255;;Anvin;62134;;;;;2.25494;50.446845;c;1;GARES C NORD PAS DE CALAIS;"[{""TVS_Code"": ""ANV""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Anvin"", ""Alias_Libelle_Fronton"": ""Anvin"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION NORD PAS DE CALAIS"", ""UG_Libelle"": ""UG Nord Pas de Calais"", ""UT_Libelle"": ""ANVIN HALTE""}";Anvin;Anvin;True;False;DRG HDF-Normandie;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;ANVIN HALTE;1;ANV;50.446845,2.25494
02231-1;02231;0087317164;;Montreuil sur Mer;62170;;;;;1.7691662;50.4661948;c;1;GARES C NORD PAS DE CALAIS;;;;;;;;;;;;;;50.4661948,1.7691662
02232-1;02232;0087317123;;Wimille - Wimereux;62126;;;;;1.6137455;50.7638456;c;1;GARES C NORD PAS DE CALAIS;"[{""TVS_Code"": ""WWX""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Wimille - Wimereux"", ""Alias_Libelle_Fronton"": ""Wimille - Wimereux"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION NORD PAS DE CALAIS"", ""UG_Libelle"": ""UG Nord Pas de Calais"", ""UT_Libelle"": ""WIMILLE WIMEREUX P GARE""}";Wimille - Wimereux;Wimille - Wimereux;True;False;DRG HDF-Normandie;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;WIMILLE WIMEREUX P GARE;1;WWX;50.7638456,1.6137455
02234-1;02234;0087317107;;Hesdigneul-lès-Boulogne;62196;;;;;1.6669967;50.6609475;c;1;GARES C NORD PAS DE CALAIS;"[{""TVS_Code"": ""HES""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Hesdigneul-lès-Boulogne"", ""Alias_Libelle_Fronton"": ""Hesdigneul"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION NORD PAS DE CALAIS"", ""UG_Libelle"": ""UG Nord Pas de Calais"", ""UT_Libelle"": ""HESDIGNEUL HALTE""}";Hesdigneul-lès-Boulogne;Hesdigneul;True;False;DRG HDF-Normandie;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;HESDIGNEUL HALTE;1;HES;50.6609475,1.6669967
02236-1;02236;0087317081;;Dannes - Camiers;62187;;;;;1.614825;50.5759062;c;1;GARES C NORD PAS DE CALAIS;"[{""TVS_Code"": ""DCQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Dannes - Camiers"", ""Alias_Libelle_Fronton"": ""Dannes - Camiers"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION NORD PAS DE CALAIS"", ""UG_Libelle"": ""UG Nord Pas de Calais"", ""UT_Libelle"": ""DANNES CAMIERS GARE""}";Dannes - Camiers;Dannes - Camiers;True;False;DRG HDF-Normandie;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;DANNES CAMIERS GARE;1;DCQ;50.5759062,1.614825
02237-1;02237;0087317065;;Étaples - Le Touquet;62630;;;;;1.64231;50.51686;b;2;GARES B NORD PAS DE CALAIS;;;;;;;;;;;;;;50.51686,1.64231
02239-1;02239;0087317016;;Boulogne Tintelleries;62200;;;;;1.60904;50.72729;b;1;GARES B NORD PAS DE CALAIS;;;;;;;;;;;;;;50.72729,1.60904
02240-1;02240;0087316760;2012-12-31;Eu-la-Mouillette;76260;;;;;;;D;;GARES C HAUTE NORMANDIE;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Eu-la-Mouillette"", ""Alias_Libelle_Fronton"": ""Eu-la-Mouillette"", ""AgenceGC_Libelle"": null, ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Eu-la-Mouillette;Eu-la-Mouillette;True;False;;;;;1;;
02241-1;02241;0087316752;2018-03-31;Feuquerolles;80190;;;;;1.605574;50.0648443;c;1;GARES C PICARDIE;;;;;;;;;;;;;;50.0648443,1.605574
02248-1;02248;0087316406;;Montreuil-sur-Thérain;60134;;;;;2.2002529;49.38152;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""MTF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montreuil-sur-Thérain"", ""Alias_Libelle_Fronton"": ""Montreuil-sur-Thérain"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""MONTREUIL SUR THERAIN HALTE""}";Montreuil-sur-Thérain;Montreuil-sur-Thérain;True;False;DRG HDF-Normandie;REGION DE PARIS-NORD;UG Picardie;MONTREUIL SUR THERAIN HALTE;1;MTF;49.38152,2.2002529
